"id_prestador","ds_situacao","ds_tipo_pessoa","nm_prestador","ds_municipio","ds_estado","dt_inclusao","ds_tipo","ds_classificacao"
37,"INATIVO","PESSOA FÍSICA","Glaucia Maria Rodrigues Covizzi","Sao Jose do Rio Preto","SP","2003-08-13","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
38,"ATIVO","PESSOA FÍSICA","HENRIQUE CELSO CHERUBINI JUNIOR ","Sao Jose do Rio Preto","SP","1998-02-03","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
39,"INATIVO","PESSOA FÍSICA","Marcio Luiz Tostes dos Santos","Sao Jose do Rio Preto","SP","1998-07-27","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
40,"INATIVO","PESSOA FÍSICA","Juvenal Carneiro de Rezende Neto","Frutal","MG","2021-11-30","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
41,"INATIVO","PESSOA FÍSICA","Michelly Thomas","Potirendaba","SP","2020-03-10","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
42,"INATIVO","PESSOA FÍSICA","ROSANA CANDIDA DE OLIVEIRA LOIOLA","Sao Jose do Rio Preto","SP","2016-01-26","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
43,"INATIVO","PESSOA FÍSICA","Nicole de Oliveira Mazzeto","Sao Jose do Rio Preto","SP","2020-07-22","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
45,"ATIVO","PESSOA FÍSICA","MARCOS ROGERIO MIQUELETTI","Sao Jose do Rio Preto","SP","2009-01-28","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
46,"ATIVO","PESSOA FÍSICA","Glaucia Pinheiro Ferreira","Carneirinho","MG","2021-10-28","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
52,"INATIVO","PESSOA FÍSICA","Marcia Polacchini Cartapatti Silva","Sao Jose do Rio Preto","SP","2010-06-24","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
53,"ATIVO","PESSOA FÍSICA","MARCELO CARTAPATTI DA SILVA","Sao Jose do Rio Preto","SP","2016-02-02","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
54,"ATIVO","PESSOA FÍSICA","Pedro Cartapatti da Silva","Sao Jose do Rio Preto","SP","2018-02-02","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
2850,"ATIVO","PESSOA FÍSICA","Joana Darc de Souza","Iturama","MG","2023-05-22","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
51,"ATIVO","PESSOA FÍSICA","Rondinelle Martins Arruda","Barretos","SP","2021-02-16","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
47,"ATIVO","PESSOA FÍSICA","Rogerio Prado Pereira","Barretos","SP","2021-04-29","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
55,"INATIVO","PESSOA FÍSICA","Mara Heitor de Mendonça","Frutal","MG","2021-12-03","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
3490,"ATIVO","PESSOA FÍSICA","Mara Heitor de Mendonça","Frutal","MG","2024-01-01","SAD","Não Contratualizado - SAD"
48,"INATIVO","PESSOA FÍSICA","Telma Abrahao","Sao Jose do Rio Preto","SP","1994-10-18","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
49,"INATIVO","PESSOA FÍSICA","Raquel Guimaraes de Padua","Sao Jose do Rio Preto","SP","1994-04-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
3505,"INATIVO","PESSOA FÍSICA","Flavio Henrique Borin","Sao Jose do Rio Preto","SP","2024-04-05","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
50,"INATIVO","PESSOA FÍSICA","Juliana Fagali Casaca","Sao Jose do Rio Preto","SP","2006-05-25","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
56,"INATIVO","PESSOA FÍSICA","JESSICA FERNANDA DE ASSIS PUPO","Mirassol","SP","2017-11-23","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
58,"INATIVO","PESSOA FÍSICA","Joao Antonio de Lima Filho","Sao Jose do Rio Preto","SP","1994-06-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
57,"INATIVO","PESSOA FÍSICA","Edemir Maciel","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
60,"ATIVO","PESSOA FÍSICA","NATALIA FERREIRA OLIVEIRA MORAIS TEIXEIRA","Limeira do Oeste","MG","2019-05-06","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
59,"ATIVO","PESSOA FÍSICA","Thalissa Catricala","Sao Jose do Rio Preto","SP","2020-12-11","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
61,"INATIVO","PESSOA FÍSICA","Helena Cristina Assis Ferreira","Frutal","MG","2021-11-30","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
62,"INATIVO","PESSOA FÍSICA","Nathiely da Mata Santos","Frutal","MG","2021-12-01","Rede Prestadora Contratualizada - Uberaba - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
63,"ATIVO","PESSOA FÍSICA","Anna Beatriz Santana Sacchi","Sao Jose do Rio Preto","SP","2023-02-10","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
66,"ATIVO","PESSOA FÍSICA","Vania Mariza Spurio","Sao Jose do Rio Preto","SP","2022-05-23","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
65,"ATIVO","PESSOA FÍSICA","GIZELI CRISTINA CODONHO VILCHES DE CAMARGOS","Sao Jose do Rio Preto","SP","2022-11-08","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
64,"ATIVO","PESSOA FÍSICA","Lidia Mian Librazi Meira","Penapolis","SP","2022-03-17","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
67,"ATIVO","PESSOA FÍSICA","Joao Carlos Brufatto","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
74,"INATIVO","PESSOA FÍSICA","Aparecido Roberto Favaro","Sao Jose do Rio Preto","SP","1990-10-26","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
75,"INATIVO","PESSOA FÍSICA","Carlos Rodolfo Rocha","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
77,"INATIVO","PESSOA FÍSICA","Joao Roberto Girade","Sao Jose do Rio Preto","SP","1994-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
78,"ATIVO","PESSOA FÍSICA","JOAO OCTAVIO DE BIASI PIROZZI","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
79,"INATIVO","PESSOA FÍSICA","Jorge Adas Dib","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
80,"INATIVO","PESSOA FÍSICA","Jose Mercio Xavier Junior","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
88,"ATIVO","PESSOA FÍSICA","Jose Bassette Junior","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
438,"ATIVO","PESSOA FÍSICA","Jose Bassette Junior","Sao Jose do Rio Preto","SP","2008-07-21","Prestador sem efeito de Prestador (Serviços Próprios)","Prestador sem efeito (somente para registro de contas)"
895,"INATIVO","PESSOA FÍSICA","Jose Bassette Junior","Sao Jose do Rio Preto","SP","2008-11-26","Prestador sem efeito de Prestador (Serviços Próprios)","Prestador sem efeito (somente para registro de contas)"
91,"INATIVO","PESSOA FÍSICA","Lucio Flavio Munia Benfatti","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
95,"ATIVO","PESSOA FÍSICA","ADHEMAR LEANDRO FERREIRA ","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
96,"INATIVO","PESSOA FÍSICA","Antonio Luiz Graciano","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
97,"INATIVO","PESSOA FÍSICA","Djalma Rodrigues Martins","Sao Jose do Rio Preto","SP","1990-01-30","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
98,"ATIVO","PESSOA FÍSICA","GILBERTO DE CAMARGO SOUBHIA","Sao Jose do Rio Preto","SP","1989-07-04","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
99,"ATIVO","PESSOA FÍSICA","JUAREZ LUIZ DONZELINI","Sao Jose do Rio Preto","SP","1990-09-20","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
101,"ATIVO","PESSOA FÍSICA","MOCAIBER GORAYEB NETO","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
103,"ATIVO","PESSOA FÍSICA","Sandra Terzian","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
111,"ATIVO","PESSOA FÍSICA","Eduardo Carlos da Silva","Sao Jose do Rio Preto","SP","1994-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
112,"INATIVO","PESSOA FÍSICA","Maria de Fatima Faria Bifano","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
113,"ATIVO","PESSOA FÍSICA","Sebastiao Carlos da Silva Junior","Sao Jose do Rio Preto","SP","1991-03-12","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
116,"ATIVO","PESSOA FÍSICA","MOACIR ALVES BORGES","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
144,"ATIVO","PESSOA FÍSICA","MARIA FERNANDA FERES BUCATER","Sao Jose do Rio Preto","SP","1992-01-06","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
119,"ATIVO","PESSOA FÍSICA","Aparecido Joao Faloppa","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
129,"ATIVO","PESSOA FÍSICA","Carlos Augusto Cherubini Prates","Sao Jose do Rio Preto","SP","1993-04-23","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
139,"INATIVO","PESSOA FÍSICA","Jose Eduardo Nogueira Forni","Sao Jose do Rio Preto","SP","1992-01-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
141,"ATIVO","PESSOA FÍSICA","MARCOS AUGUSTO GUIMARAES","Sao Jose do Rio Preto","SP","1990-05-15","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
143,"ATIVO","PESSOA FÍSICA","Marcos Baraldo Gomes","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
152,"INATIVO","PESSOA FÍSICA","Joao Carlos de Mauro","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
154,"INATIVO","PESSOA FÍSICA","Luiz Carlos Aranjues Montoro","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
156,"INATIVO","PESSOA FÍSICA","Egberto Palmegiani","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
157,"ATIVO","PESSOA FÍSICA","GENI SATOMI CUNRATH","Sao Jose do Rio Preto","SP","1990-02-28","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
160,"INATIVO","PESSOA FÍSICA","Adauto Alvaro Arvati","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
228,"INATIVO","PESSOA FÍSICA","Jose Roberto Prette","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
257,"ATIVO","PESSOA FÍSICA","Marcio Augusto Luswarghi Fioroni","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
288,"ATIVO","PESSOA FÍSICA","Helio Augusto Pascoal da Gama","Sao Jose do Rio Preto","SP","1990-09-17","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
290,"ATIVO","PESSOA FÍSICA","AUGUSTO DA SILVA","Sao Jose do Rio Preto","SP","1997-08-27","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
294,"ATIVO","PESSOA FÍSICA","Jose Mario Pozetti","Sao Jose do Rio Preto","SP","1989-07-04","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
469,"ATIVO","PESSOA FÍSICA","Alaor Caetano","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
295,"ATIVO","PESSOA FÍSICA","Helio Augusto dos Reis Corbucci","Sao Jose do Rio Preto","SP","1990-01-30","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
512,"INATIVO","PESSOA FÍSICA","Rosangela Cannizza Pacheco","Potirendaba","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
478,"INATIVO","PESSOA FÍSICA","Cristina Poliselli","Americana","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
482,"ATIVO","PESSOA FÍSICA","Fernando Tadeu Vanucci Coimbra","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
487,"INATIVO","PESSOA FÍSICA","Helio Jose Cezarino","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - XML","Profissionais (Médicos, Terapêutas...)"
489,"ATIVO","PESSOA FÍSICA","Selma Regina de Oliveira Raymundo","Sao Jose do Rio Preto","SP","1994-06-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
490,"INATIVO","PESSOA FÍSICA","Joao Baptista Ferraz Parolari","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
491,"ATIVO","PESSOA FÍSICA","JOSE ANTONIO ZANOVELLI AFFONSO","Sao Jose do Rio Preto","SP","1999-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
494,"ATIVO","PESSOA FÍSICA","JOSE FRANCISCO GANDOLFI","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
498,"INATIVO","PESSOA FÍSICA","Lucio Flavio Baraldo Mansur","Sao Jose do Rio Preto","SP","1994-02-01","Rede Prestadora Contratualizada - Rio Preto - XML","Profissionais (Médicos, Terapêutas...)"
503,"INATIVO","PESSOA FÍSICA","Nadir Jorge Racy","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
515,"ATIVO","PESSOA FÍSICA","Julio Cesar Pereira Cardoso Junior","Sao Jose do Rio Preto","SP","1999-06-29","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
550,"ATIVO","PESSOA FÍSICA","Eleuses Vieira de Paiva","Sao Jose do Rio Preto","SP","1998-02-03","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
517,"INATIVO","PESSOA FÍSICA","Antonio Carlos Feres Martins","Nazare Paulista","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
522,"INATIVO","PESSOA FÍSICA","Joao Baptista Crenith Junior","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
551,"ATIVO","PESSOA FÍSICA","Luiz Benedito Tavares","Sao Paulo","SP","1998-02-03","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
524,"INATIVO","PESSOA FÍSICA","Ernesto Vicente Crenith","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
525,"INATIVO","PESSOA FÍSICA","Eliana Oger Pagliuso Carminatti","Sao Jose do Rio Preto","SP","1992-02-01","Rede Prestadora Contratualizada - Rio Preto - Apresentação Automática","Profissionais (Médicos, Terapêutas...)"
526,"ATIVO","PESSOA FÍSICA","DULCIMAR DONIZETE DE SOUZA ","Sao Jose do Rio Preto","SP","1994-02-01","Rede Prestadora Contratualizada - Rio Preto - XML","Profissionais (Médicos, Terapêutas...)"
